中文,繁體,英文,拼音,领域,适用法域,来源地区,类型,来源语境,学习注释,来源记录,条目ID,数据许可,译文审核,中文释义,译法说明,法律依据
著作权,著作權,copyright,zhu4 zuo4 quan2,intellectual_property,CN,INTERNATIONAL,term,中华人民共和国著作权法（2020修正）,并非所有权能都能转让；第十条对可许可和可转让权利范围作了列举。,oll-cn-core:cn-copyright,cn-copyright,CC-BY-4.0,project_authored,著作权法规定的、围绕作品享有的人身权和财产权的集合。,项目释译，非官方译文；copyright 在中国法语境同时涉及人身权与财产权。,中华人民共和国著作权法（2020修正） 第10条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html
董监高同类营业刑事责任,董監高同類營業刑事責任,"criminal liability for competing business by directors, supervisors and senior management",dong3 jian1 gao1 tong2 lei4 ying2 ye4 xing2 shi4 ze2 ren4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,刑法修正案（十二）修改后，条文除国有公司、企业董监高外，也在符合法律、行政法规违反和重大损失等条件时覆盖其他公司、企业董监高。,oll-cn-criminal:cn-criminal-competing-business,cn-criminal-competing-business,CC-BY-4.0,project_authored,刑法第一百六十五条对特定公司、企业董事、监事、高级管理人员利用职务便利经营同类营业并达到法定结果或损失条件时规定的刑事责任。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第165条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
行政处罚,行政處罰,administrative penalty,xing2 zheng4 chu3 fa2,administrative,CN,INTERNATIONAL,term,中华人民共和国行政处罚法（2021修订）,判断某项措施是否属于行政处罚，重点看其是否针对违反行政管理秩序的行为，并具有依法惩戒、减损权益或增加义务的性质。,oll-cn-admin-labor:cn-admin-penalty,cn-admin-penalty,CC-BY-4.0,project_authored,行政机关针对违反行政管理秩序的行为，依法通过减损权益或者增加义务实施的惩戒。,项目释译，非官方译文；本项目用 administrative penalty 对应《行政处罚法》中的法定概念，避免与泛指制裁的 sanction 混用。,中华人民共和国行政处罚法（2021修订） 第2条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html
行政处罚事先告知,行政處罰事先告知,prior notice of an administrative penalty,xing2 zheng4 chu3 fa2 shi4 xian1 gao4 zhi1,administrative,CN,INTERNATIONAL,action,中华人民共和国行政处罚法（2021修订）,事先告知发生在处罚决定作出之前，告知内容不仅包括拟处罚结果，还包括事实、理由、依据及陈述、申辩、听证等权利。,oll-cn-admin-labor:cn-admin-prior-notice,cn-admin-prior-notice,CC-BY-4.0,project_authored,行政机关在作出行政处罚决定前，将拟处罚内容及其事实、理由、依据和当事人依法享有的程序权利告知当事人的程序。,项目释译，非官方译文；prior notice 强调决定前的程序性告知，不等同于处罚决定书的送达。,中华人民共和国行政处罚法（2021修订） 第44条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html
行政处罚听证,行政處罰聽證,administrative penalty hearing,xing2 zheng4 chu3 fa2 ting1 zheng4,administrative,CN,INTERNATIONAL,term,中华人民共和国行政处罚法（2021修订）,法定情形包括较大数额罚款、较大数额没收、降低资质等级或吊销许可证件、责令停产停业等；当事人不承担行政机关组织听证的费用。,oll-cn-admin-labor:cn-admin-penalty-hearing,cn-admin-penalty-hearing,CC-BY-4.0,project_authored,对法定较重行政处罚决定，在当事人依法要求时由行政机关组织的听证程序。,项目释译，非官方译文；hearing 指行政处罚法规定的程序性听证，不等同于法院 trial。,中华人民共和国行政处罚法（2021修订） 第63条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html
行政处罚的种类,行政處罰的種類,types of administrative penalties,xing2 zheng4 chu3 fa2 de5 zhong3 lei4,administrative,CN,INTERNATIONAL,term,中华人民共和国行政处罚法（2021修订）,行政处罚并不等于罚款；判断具体措施时要先核对其是否落入法定处罚类别以及是否有设定依据。,oll-cn-admin-labor:cn-admin-penalty-types,cn-admin-penalty-types,CC-BY-4.0,project_authored,法律列举的行政处罚类别，包括警告或通报批评、罚款或没收、许可证和资质措施、经营限制、行政拘留以及法律行政法规规定的其他处罚。,项目释译，非官方译文；types of administrative penalties 指法定类别，不表示项目对任一具体措施已经完成定性。,中华人民共和国行政处罚法（2021修订） 第9条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html
行政处罚立案,行政處罰立案,case filing for an administrative penalty,xing2 zheng4 chu3 fa2 li4 an4,administrative,CN,INTERNATIONAL,action,中华人民共和国行政处罚法（2021修订）,第五十四条把全面、客观、公正调查与符合立案标准时及时立案并列规定；“立案”并不意味着违法事实已经最终认定。,oll-cn-admin-labor:cn-admin-case-filing,cn-admin-case-filing,CC-BY-4.0,project_authored,行政机关发现涉嫌应受行政处罚的行为并符合立案标准时，将案件正式纳入调查处理程序的步骤。,项目释译，非官方译文；case filing 在此表示行政处罚执法流程中的立案，不等同于法院 docketing。,中华人民共和国行政处罚法（2021修订） 第54条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html
行政复议,行政複議,administrative reconsideration,xing2 zheng4 fu4 yi4,"administrative,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国行政复议法（2023修订）,行政复议针对行政行为展开法定复审；对复议决定不服原则上仍可依法提起行政诉讼，但法律规定最终裁决的除外。,oll-cn-admin-labor:cn-admin-reconsideration,cn-admin-reconsideration,CC-BY-4.0,project_authored,公民、法人或者其他组织认为行政行为侵犯其合法权益时，依法向行政复议机关申请，由行政复议机关办理复议案件的行政救济制度。,项目释译，非官方译文；administrative reconsideration 用于中国法上的行政复议，不直接替换为 judicial review。,"中华人民共和国行政复议法（2023修订） 第2,10条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html"
行政复议中止,行政複議中止,suspension of administrative reconsideration,xing2 zheng4 fu4 yi4 zhong1 zhi3,"administrative,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国行政复议法（2023修订）,中止的核心是暂时停止而非案件终结；原因消除后应及时恢复审理，并由行政复议机关书面告知当事人。,oll-cn-admin-labor:cn-admin-reconsideration-suspension,cn-admin-reconsideration-suspension,CC-BY-4.0,project_authored,行政复议过程中出现法定暂时障碍时，案件审理暂停，待中止原因消除后继续审理的程序状态。,项目释译，非官方译文；suspension 强调程序暂停，与 termination of administrative reconsideration 区分。,中华人民共和国行政复议法（2023修订） 第39条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议书面申请,行政複議書面申請,written application for administrative reconsideration,xing2 zheng4 fu4 yi4 shu1 mian4 shen1 qing3,"administrative,dispute_resolution",CN,INTERNATIONAL,document,中华人民共和国行政复议法（2023修订）,书面申请并非唯一形式；书面申请有困难时法律允许口头申请。,oll-cn-admin-labor:cn-admin-reconsideration-written-application,cn-admin-reconsideration-written-application,CC-BY-4.0,project_authored,以书面形式提出的行政复议申请，可以通过邮寄、行政复议机关指定的互联网渠道或者当面提交等法定方式提出。,项目释译，非官方译文；written application 指申请形式，不表示必须使用特定纸质表格。,中华人民共和国行政复议法（2023修订） 第22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议书面答复,行政複議書面答覆,written response in administrative reconsideration,xing2 zheng4 fu4 yi4 shu1 mian4 da2 fu4,"administrative,dispute_resolution",CN,INTERNATIONAL,document,中华人民共和国行政复议法（2023修订）,被申请人应在收到相关副本或复印件之日起十日内提出书面答复，并提交作出行政行为的证据、依据和其他有关材料。,oll-cn-admin-labor:cn-admin-reconsideration-response,cn-admin-reconsideration-response,CC-BY-4.0,project_authored,行政复议中，被申请人在收到申请书副本或申请笔录复印件后，就被申请行政行为提交的书面答复。,项目释译，非官方译文；written response 指复议程序中的答复材料，不等同于法院诉讼答辩状。,中华人民共和国行政复议法（2023修订） 第48条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议口头申请,行政複議口頭申請,oral application for administrative reconsideration,xing2 zheng4 fu4 yi4 kou3 tou2 shen1 qing3,"administrative,dispute_resolution",CN,INTERNATIONAL,action,中华人民共和国行政复议法（2023修订）,机关记录内容包括申请人基本情况、复议请求、主要事实、理由和时间；口头申请并不意味着可以省略这些核心信息。,oll-cn-admin-labor:cn-admin-reconsideration-oral-application,cn-admin-reconsideration-oral-application,CC-BY-4.0,project_authored,申请人因书面申请有困难而以口头方式提出的行政复议申请，由行政复议机关当场记录法定事项。,项目释译，非官方译文；oral application 指申请方式，不表示口头审理。,中华人民共和国行政复议法（2023修订） 第22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议听证,行政複議聽證,administrative reconsideration hearing,xing2 zheng4 fu4 yi4 ting1 zheng4,"administrative,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国行政复议法（2023修订）,重大、疑难、复杂案件应当组织听证；其他案件在机构认为有必要或申请人请求时可以组织。听证设主持人、听证员和记录员。,oll-cn-admin-labor:cn-admin-reconsideration-hearing,cn-admin-reconsideration-hearing,CC-BY-4.0,project_authored,行政复议机构在审理重大、疑难、复杂案件时依法组织，或者在认为必要、申请人请求等情况下可以组织的听证程序。,项目释译，非官方译文；administrative reconsideration hearing 与行政处罚决定前的处罚听证属于不同程序。,中华人民共和国行政复议法（2023修订） 第50条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议普通程序,行政複議普通程序,ordinary procedure for administrative reconsideration,xing2 zheng4 fu4 yi4 pu3 tong1 cheng2 xu4,"administrative,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国行政复议法（2023修订）,因当事人原因不能听取意见的，可以书面审理；本词条只概括第四十九条体现的普通程序要求，不替代全章程序规则。,oll-cn-admin-labor:cn-admin-reconsideration-ordinary-procedure,cn-admin-reconsideration-ordinary-procedure,CC-BY-4.0,project_authored,行政复议案件适用的普通审理程序；在该程序下，行政复议机构原则上应通过当面、互联网、电话等方式听取当事人意见并记录在案。,项目释译，非官方译文；ordinary procedure 用于与法律中的其他程序类型区分。,中华人民共和国行政复议法（2023修订） 第49条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议机关,行政複議機關,administrative reconsideration authority,xing2 zheng4 fu4 yi4 ji1 guan1,"administrative,dispute_resolution",CN,INTERNATIONAL,institution,中华人民共和国行政复议法（2023修订）,“行政复议机关”是依法承担复议职责的行政机关，与具体承办复议事项的“行政复议机构”应区分。,oll-cn-admin-labor:cn-admin-reconsideration-authority,cn-admin-reconsideration-authority,CC-BY-4.0,project_authored,依照行政复议法履行行政复议职责的县级以上各级人民政府以及其他法定行政机关。,项目释译，非官方译文；authority 强调依法承担复议职责的机关层级，避免与内部承办机构混同。,中华人民共和国行政复议法（2023修订） 第4条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议机构,行政複議機構,administrative reconsideration office,xing2 zheng4 fu4 yi4 ji1 gou4,"administrative,dispute_resolution",CN,INTERNATIONAL,institution,中华人民共和国行政复议法（2023修订）,机关与机构不是同一概念：前者承担法定复议职责，后者是办理复议事项的具体机构。,oll-cn-admin-labor:cn-admin-reconsideration-office,cn-admin-reconsideration-office,CC-BY-4.0,project_authored,行政复议机关中具体办理行政复议事项的机构，并同时组织办理该机关的行政应诉事项。,项目释译，非官方译文；office 用于与 administrative reconsideration authority 区分，并不暗示统一的机构名称。,中华人民共和国行政复议法（2023修订） 第4条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议申请,行政複議申請,application for administrative reconsideration,xing2 zheng4 fu4 yi4 shen1 qing3,"administrative,dispute_resolution",CN,INTERNATIONAL,document,中华人民共和国行政复议法（2023修订）,申请可以书面提出，书面申请有困难时也可以口头提出；对两个以上行政行为不服的，应分别申请。,oll-cn-admin-labor:cn-admin-reconsideration-application,cn-admin-reconsideration-application,CC-BY-4.0,project_authored,申请人请求行政复议机关依法对其不服的行政行为启动行政复议程序的申请。,项目释译，非官方译文；application 同时可指申请行为和申请事项，具体文书可写 application for administrative reconsideration。,"中华人民共和国行政复议法（2023修订） 第20,22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html"
行政复议申请期限,行政複議申請期限,time limit for applying for administrative reconsideration,xing2 zheng4 fu4 yi4 shen1 qing3 qi1 xian4,"administrative,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国行政复议法（2023修订）,不可抗力或其他正当理由造成耽误时，期限按条文规则继续计算；行政机关未告知复议权利、机关和期限时另有起算规则及最长一年限制。,oll-cn-admin-labor:cn-admin-reconsideration-time-limit,cn-admin-reconsideration-time-limit,CC-BY-4.0,project_authored,行政复议申请可以依法提出的期间，原则上自知道或者应当知道行政行为之日起六十日计算，法律规定更长期限的除外。,项目释译，非官方译文；time limit 比 limitation period 更中性，避免与民事诉讼时效混同。,中华人民共和国行政复议法（2023修订） 第20条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html
行政复议终止,行政複議終止,termination of administrative reconsideration,xing2 zheng4 fu4 yi4 zhong1 zhi3,"administrative,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国行政复议法（2023修订）,终止不同于中止：例如申请人撤回申请并获准、特定主体终止且无权利义务承受人等情形可导致案件终结；中止原则上仍可能恢复。,oll-cn-admin-labor:cn-admin-reconsideration-termination,cn-admin-reconsideration-termination,CC-BY-4.0,project_authored,行政复议过程中出现法律列举的终结事由时，由行政复议机关决定结束该复议程序的状态。,项目释译，非官方译文；termination 表示复议程序终结，不等同于暂停。,"中华人民共和国行政复议法（2023修订） 第39,41条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html"
行贿从重处罚情形,行賄從重處罰情形,aggravating circumstances for bribery,xing2 hui4 cong2 zhong4 chu3 fa2 qing2 xing2,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,刑法修正案（十二）新增并系统列举七类从重处罚情形；“从重”仍在法定刑规则内理解，不等于当然适用最高刑。,oll-cn-criminal:cn-bribery-aggravating-circumstances,cn-bribery-aggravating-circumstances,CC-BY-4.0,project_authored,刑法第三百九十条列举的多次或向多人行贿、国家工作人员行贿、重点工程重大项目行贿等依法从重处罚情形。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第390条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
行贿罪,行賄罪,offering bribes to a state functionary,xing2 hui4 zui4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第三百八十九条规定基本行为和被勒索例外；第三百九十条规定刑罚、从重情形及被追诉前主动交待的从宽规则。,oll-cn-criminal:cn-bribery,cn-bribery,CC-BY-4.0,project_authored,为谋取不正当利益，给予国家工作人员以财物，或者符合法定经济往来行贿情形而构成的犯罪。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,"中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第389,390条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml"
表见代理,表見代理,apparent agency,biao3 jian4 dai4 li3,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,与一般无权代理比较，条文关键在相对人有理由相信存在代理权。,oll-cn-core:cn-apparent-agency,cn-apparent-agency,CC-BY-4.0,project_authored,行为人虽无代理权，但相对人有理由相信其有代理权，因而代理行为有效的情形。,项目释译，非官方译文；英文只作该中国法概念的语境译法，不声称与其他法域 apparent authority 完全等同。,中华人民共和国民法典（2020） 第172条 https://www.court.gov.cn/zixun/xiangqing/233181.html
被告住所地管辖,被告住所地管轄,jurisdiction based on the defendant’s domicile,bei4 gao4 zhu4 suo3 di4 guan3 xia2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,这是一般地域管辖的基础规则；合同、侵权、专属管辖等案件还要继续核对特别规定。,oll-cn-dispute-resolution:cn-cpl-defendant-domicile-jurisdiction,cn-cpl-defendant-domicile-jurisdiction,CC-BY-4.0,project_authored,一般民事诉讼原则上由被告住所地人民法院管辖；自然人住所地与经常居住地不一致时，由经常居住地法院管辖。,"项目释译，非官方译文；jurisdiction here means territorial court jurisdiction under PRC civil procedure, not subject-matter jurisdiction in another legal system.",中华人民共和国民事诉讼法（2023年修正） 第22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
要约,要約,offer,yao1 yue1,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,同时注意内容确定性与承诺后受约束的意思，不能把所有商业宣传都当作要约。,oll-cn-core:cn-offer,cn-offer,CC-BY-4.0,project_authored,内容具体确定，且表明经受要约人承诺即受约束的订约意思表示。,项目释译，非官方译文；与 invitation to offer 区分。,中华人民共和国民法典（2020） 第472条 https://www.court.gov.cn/zixun/xiangqing/233181.html
要约邀请,要約邀請,invitation to offer,yao1 yue1 yao1 qing3,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,拍卖公告、招标公告等通常属于要约邀请；商业广告内容符合要约条件时可以构成要约。,oll-cn-core:cn-invitation-to-offer,cn-invitation-to-offer,CC-BY-4.0,project_authored,希望他人向自己发出要约的表示。,项目释译，非官方译文；也有 invitation to treat 译法；本库保留以要约为对象的表述。,中华人民共和国民法典（2020） 第473条 https://www.court.gov.cn/zixun/xiangqing/233181.html
视同应税交易,視同應稅交易,deemed taxable transaction,shi4 tong2 ying1 shui4 jiao1 yi4,tax,CN,INTERNATIONAL,term,中华人民共和国增值税法（2024通过）,第五条列举自产或委托加工货物用于集体福利或个人消费、部分无偿转让等情形；“视同”不能扩张到条文未规定的所有无偿行为。,oll-cn-tax-trade:cn-vat-deemed-taxable-transaction,cn-vat-deemed-taxable-transaction,CC-BY-4.0,project_authored,虽不完全符合一般有偿交易形态，但由法律明确视同应税交易并按规定缴纳增值税的特定行为。,项目释译，非官方译文；deemed taxable transaction 强调法律拟制。,中华人民共和国增值税法（2024通过） 第5条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html
证据保全,證據保全,preservation of evidence,zheng4 ju4 bao3 quan2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,既可在诉讼中申请，也存在紧急情况下诉前或仲裁前申请；证据保全与财产/行为保全目的不同。,oll-cn-dispute-resolution:cn-cpl-evidence-preservation,cn-cpl-evidence-preservation,CC-BY-4.0,project_authored,在证据可能灭失或者以后难以取得时，由人民法院依法采取措施固定、保存相关证据。,项目释译，非官方译文；preservation of evidence is distinct from preservation measures aimed at assets or conduct.,中华人民共和国民事诉讼法（2023年修正） 第84条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
诉前保全,訴前保全,pre-action preservation measures,su4 qian2 bao3 quan2,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,申请人应提供担保，并在法院采取措施后三十日内依法起诉或申请仲裁，否则法院应解除保全。,oll-cn-dispute-resolution:cn-cpl-pre-action-preservation,cn-cpl-pre-action-preservation,CC-BY-4.0,project_authored,情况紧急，不立即保全将使合法权益受到难以弥补损害时，利害关系人在起诉或申请仲裁前向有法定联系的人民法院申请保全措施。,项目释译，非官方译文；pre-action preservation measures may concern property or conduct and should not be confused with preservation of evidence.,中华人民共和国民事诉讼法（2023年修正） 第104条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
诉前证据保全,訴前證據保全,pre-action preservation of evidence,su4 qian2 zheng4 ju4 bao3 quan2,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,这是诉前/仲裁前证据保护，不等同于冻结财产的诉前保全。,oll-cn-dispute-resolution:cn-cpl-pre-action-evidence-preservation,cn-cpl-pre-action-evidence-preservation,CC-BY-4.0,project_authored,情况紧急且证据可能灭失或者以后难以取得时，利害关系人在提起诉讼或申请仲裁前向有法定联系的人民法院申请证据保全。,项目释译，非官方译文；pre-action preservation of evidence is kept distinct from pre-action asset or conduct preservation.,中华人民共和国民事诉讼法（2023年修正） 第84条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
诉讼保全,訴訟保全,preservation measures during litigation,su4 song4 bao3 quan2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,法院可依申请采取措施，必要时也可依职权；可能要求申请人提供担保。,oll-cn-dispute-resolution:cn-cpl-litigation-preservation,cn-cpl-litigation-preservation,CC-BY-4.0,project_authored,为防止当事人行为或其他原因导致判决难以执行或者造成其他损害，人民法院在诉讼中依法采取财产或行为保全措施。,项目释译，非官方译文；preservation measures covers property and conduct restraints and is not translated simply as evidence preservation.,中华人民共和国民事诉讼法（2023年修正） 第103条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
诉讼时效,訴訟時效,limitation period for civil claims,su4 song4 shi2 xiao4,"civil,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,普通期间为三年，法律另有规定的除外；届满并非当然消灭权利，已自愿履行者不得仅以届满请求返还。,oll-cn-core:cn-limitation-period,cn-limitation-period,CC-BY-4.0,project_authored,请求法院保护民事权利所受的法定期间制度，期间届满可产生时效抗辩。,项目释译，非官方译文；不要与诉讼中的提交材料期限混淆。,"中华人民共和国民法典（2020） 第188,192条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
诉讼时效中断,訴訟時效中斷,interruption of the limitation period,su4 song4 shi2 xiao4 zhong1 duan4,"civil,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,从中断或者有关程序终结时起重新计算；不是简单暂停剩余天数。,oll-cn-core:cn-interruption-limitation,cn-interruption-limitation,CC-BY-4.0,project_authored,因履行请求、同意履行、起诉或仲裁等法定事由，使时效期间重新计算的制度。,项目释译，非官方译文；不要与 suspension of the limitation period 混用。,中华人民共和国民法典（2020） 第195条 https://www.court.gov.cn/zixun/xiangqing/233181.html
诉讼时效中止,訴訟時效中止,suspension of the limitation period,su4 song4 shi2 xiao4 zhong1 zhi3,"civil,dispute_resolution",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,中止原因消除之日起满六个月，诉讼时效期间届满；不同于中断后重新计算。,oll-cn-core:cn-suspension-limitation,cn-suspension-limitation,CC-BY-4.0,project_authored,在时效最后六个月内因法定障碍不能行使请求权，而适用特别期间计算规则的制度。,项目释译，非官方译文；suspension 与 interruption 在本库分列。,中华人民共和国民法典（2020） 第194条 https://www.court.gov.cn/zixun/xiangqing/233181.html
试用期,試用期,probationary period,shi4 yong4 qi1,employment,CN,INTERNATIONAL,term,中华人民共和国劳动合同法（2012修正）,试用期最长长度随劳动合同期限变化；同一用人单位与同一劳动者只能约定一次，且试用期包含在劳动合同期限内。,oll-cn-admin-labor:cn-labor-probation-period,cn-labor-probation-period,CC-BY-4.0,project_authored,劳动合同中依法约定、用于劳动关系初期考察且受合同期限和次数等法定限制的期间。,项目释译，非官方译文；probationary period 指劳动合同法上的试用期。,中华人民共和国劳动合同法（2012修正） 第19条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
请求继续履行,請求繼續履行,seek continued performance,qing3 qiu2 ji4 xu4 lv3 xing2,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,非金钱债务有法律或事实上不能履行、不适于强制履行、费用过高等例外，还需注意合理期限。,oll-cn-contract-phrases:cn-continued-performance,cn-continued-performance,CC-BY-4.0,project_authored,违约后要求对方继续履行合同义务的救济请求。,项目释译，非官方译文；continued performance 描述本法救济；不直接套用英美衡平法 specific performance 的适用门槛。,"中华人民共和国民法典（2020） 第577,580条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
请求违约损害赔偿,請求違約損害賠償,claim damages for breach of contract,qing3 qiu2 wei2 yue1 sun3 hai4 pei2 chang2,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,履行或补救后仍有其他损失的可请求赔偿；赔偿范围受因果关系和可预见性限制。,oll-cn-contract-phrases:cn-claim-contract-damages,cn-claim-contract-damages,CC-BY-4.0,project_authored,因不履行或履行不符约定造成损失而请求金钱赔偿。,项目释译，非官方译文；damages 在此是损害赔偿金额或救济，不是泛指 damage 所表示的损害事实。,"中华人民共和国民法典（2020） 第583,584条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
财产报告,財產報告,judgment debtor’s property reporting,cai2 chan3 bao4 gao4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,拒绝报告或者虚假报告可能受到罚款、拘留等法律后果。,oll-cn-dispute-resolution:cn-cpl-property-reporting,cn-cpl-property-reporting,CC-BY-4.0,project_authored,被执行人未按执行通知履行法律文书确定的义务时，依法向人民法院报告当前及规定期间内的财产情况。,项目释译，非官方译文；judgment debtor is used functionally for 被执行人 in enforcement and does not imply the underlying obligation was a contractual debt.,中华人民共和国民事诉讼法（2023年修正） 第252条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
货物原产地,貨物原產地,origin of goods,huo4 wu4 yuan2 chan3 di4,"tax,trade",CN,INTERNATIONAL,term,中华人民共和国关税法（2024）,第十一条规定完全获得与最后完成实质性改变等基本原产地判断，并要求进口货物原产地依法律和有关规定具体确定；原产地直接影响税率适用。,oll-cn-tax-trade:cn-customs-origin,cn-customs-origin,CC-BY-4.0,project_authored,为适用关税规则而依法确定货物来源国家或地区的法律属性。,项目释译，非官方译文；origin of goods 在此指关税法上的货物原产地。,"中华人民共和国关税法（2024） 第11,12,31条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html"
货物进出口,貨物進出口,import and export of goods,huo4 wu4 jin4 chu1 kou3,trade,CN,INTERNATIONAL,term,中华人民共和国对外贸易法（2025第二次修订）,第二条将货物进出口与技术进出口、国际服务贸易并列纳入对外贸易；具体限制、许可、原产地及救济规则另有条文规定。,oll-cn-tax-trade:cn-trade-in-goods,cn-trade-in-goods,CC-BY-4.0,project_authored,作为《对外贸易法》对外贸易组成部分的货物进口与出口活动。,项目释译，非官方译文；import and export of goods 用于本法货物贸易语境。,"中华人民共和国对外贸易法（2025第二次修订） 第2,16条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html"
质证,質證,examination of evidence by the parties,zhi4 zheng4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,这里的“质证”针对证据，不应机械翻成仅针对证人的 cross-examination。,oll-cn-dispute-resolution:cn-cpl-cross-examination-evidence,cn-cpl-cross-examination-evidence,CC-BY-4.0,project_authored,证据在法庭上出示后，由当事人相互进行核对、质疑和发表意见，以供法院审查判断。,项目释译，非官方译文；examination of evidence by the parties is used to avoid falsely equating 质证 with witness cross-examination alone.,中华人民共和国民事诉讼法（2023年修正） 第71条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
